feature,pearson_r,p_value,direction,n,rank
scheduling_difficulty,0.8066164324696457,2.4489997716055863e-18,positive,75,1.0
constraint_violation_rate,0.8033451041798503,4.2448614719379465e-18,positive,75,2.0
budget_management_stress,0.7982387429070841,9.815830516510937e-18,positive,75,3.0
multitasking_load,0.7063168224041401,1.4518350328078852e-12,positive,75,4.0
drag_attempts,0.6637714210284333,8.54639778279961e-11,positive,75,5.0
recovery_efficiency,-0.6180902456924057,3.459285146599416e-09,negative,75,6.0
form_efficiency,-0.5848463304555311,3.592420739266397e-08,negative,75,7.0
form_hesitation_index,-0.5330832718646403,8.48853210545526e-07,negative,75,8.0
mouse_entropy_avg,0.5194696481175151,1.791900226830061e-06,positive,75,9.0
filter_optimization_score,-0.4178397552064458,0.00019148892120728238,negative,75,10.0
planning_time_ratio,0.37699897351548256,0.0008560742514345559,positive,75,11.0
rapid_hovers,0.19624109660571135,0.09152579081647798,positive,75,12.0
idle_time_ratio,0.10704568577615778,0.3606630120306024,positive,75,13.0
action_density,0.0918071922879369,0.43340632851562116,positive,75,14.0
decision_uncertainty,-0.07472653105366277,0.5240121441279324,negative,75,15.0
exploration_breadth,0.01977381034082569,0.8662792982310997,positive,75,16.0
