task_id,feature,pearson_r,p_value,n
task_1_form,scheduling_difficulty,0.34966566411731914,0.08664128957090018,25
task_1_form,constraint_violation_rate,0.7348740583511314,2.868406519117057e-05,25
task_1_form,budget_management_stress,0.6739146450120247,0.00022132901551145077,25
task_1_form,multitasking_load,-0.13547836323583215,0.5184740289007432,25
task_1_form,drag_attempts,0.3471948493724502,0.08904409178824696,25
task_1_form,recovery_efficiency,-0.19684033708083487,0.3456371078033691,25
task_1_form,form_efficiency,-0.09059811271197858,0.6666961563706866,25
task_1_form,form_hesitation_index,0.494650092135179,0.0119477750696184,25
task_1_form,mouse_entropy_avg,0.26982168017344105,0.19210071299588125,25
task_1_form,filter_optimization_score,-0.3992916825184936,0.04799930466646271,25
task_1_form,planning_time_ratio,0.7832921407592889,3.6616641834684264e-06,25
task_1_form,rapid_hovers,0.5393282923551598,0.005399300880548412,25
task_1_form,action_density,-0.025173312177581515,0.9049258026875954,25
task_1_form,idle_time_ratio,0.03748009579835027,0.8588263677316821,25
task_1_form,exploration_breadth,-0.06581715929152311,0.754602136567682,25
task_1_form,decision_uncertainty,-0.2764147611013837,0.18104277409365152,25
task_2_product,scheduling_difficulty,0.6036705438275454,0.001398050761419392,25
task_2_product,constraint_violation_rate,0.8976749143222033,1.184364740537837e-09,25
task_2_product,budget_management_stress,0.6249553069370984,0.0008377864434739257,25
task_2_product,multitasking_load,0.593683042880724,0.0017563833615515984,25
task_2_product,drag_attempts,0.1997337814791362,0.3384494600176135,25
task_2_product,recovery_efficiency,-0.43457222623888797,0.02994635974001871,25
task_2_product,form_efficiency,0.19447735665901866,0.3515737920763199,25
task_2_product,form_hesitation_index,-0.1958877650376376,0.3480231113039222,25
task_2_product,mouse_entropy_avg,0.23429143245410156,0.25963185577035225,25
task_2_product,filter_optimization_score,-0.7805359110123775,4.172777195458864e-06,25
task_2_product,planning_time_ratio,0.896783928561713,1.302656991992635e-09,25
task_2_product,rapid_hovers,0.5219484223003881,0.00744646288652218,25
task_2_product,action_density,-0.08739812467452315,0.6778382584654985,25
task_2_product,idle_time_ratio,0.4334305279700873,0.03042938539163622,25
task_2_product,exploration_breadth,0.29285505355933816,0.15540984831478336,25
task_2_product,decision_uncertainty,-0.2472103551130563,0.23350748460579038,25
task_3_travel,scheduling_difficulty,0.6943802444777931,0.0001177264453185663,25
task_3_travel,constraint_violation_rate,0.9605238765632509,2.8348422360485172e-14,25
task_3_travel,budget_management_stress,0.8956205404845992,1.4731758280494141e-09,25
task_3_travel,multitasking_load,0.5327526011090731,0.006109612547507778,25
task_3_travel,drag_attempts,0.2813602892632421,0.17304305202136525,25
task_3_travel,recovery_efficiency,-0.39770787941878455,0.04897478835659396,25
task_3_travel,form_efficiency,-0.014435572255837418,0.9453987989380729,25
task_3_travel,form_hesitation_index,0.0796176636256195,0.7052009375912385,25
task_3_travel,mouse_entropy_avg,0.13470194673834968,0.5208961287841682,25
task_3_travel,filter_optimization_score,-0.21732125647743486,0.2967105190769157,25
task_3_travel,planning_time_ratio,0.8853565173072382,4.112507039561728e-09,25
task_3_travel,rapid_hovers,0.1073862426065959,0.6094043412069914,25
task_3_travel,action_density,0.3283414457687976,0.10905651672978145,25
task_3_travel,idle_time_ratio,0.2177531947237973,0.2957277786301142,25
task_3_travel,exploration_breadth,0.13976507036779817,0.5051998130861579,25
task_3_travel,decision_uncertainty,0.19457332694413396,0.3513315119623882,25
